"000000001000",audio/random/happy,
"000000000100",audio/random/sad,
"000000000010",audio/random/proc,
"000000000001",audio/random/razz,
"100000000000",audio/CHORTLE,
"010000000000",audio/random/scream,
"000001001000",audio/Theme001,
"000001000100",audio/CANTINA,
"000001000010",audio/WOLFWSTL,
"000001000001",scripts/leia/0,
"100001000000",audio/SHORTCKT,
"010001000000",audio/DOODOO,
"000010001000",audio/Mhana,
"000010000100",audio/StayinAl,
"000010000010",audio/AddamsFa,
"000010000001",audio/Gangnam,
"100010000000",audio/random/ooh,
"010010000000",audio/random/alarm,
"000011001000",audio/volume/up,
"000011000100",audio/volume/down,
"100011000000",sendstatus,
"010011000000",servo/dome/PP1/1/0,servo/dome/PP1/0/0
"000011100000",shutdown/now,
"000000010000",servo/body/ENABLE_DRIVE/0/0,
"000000100000",servo/body/ENABLE_DRIVE/1/0,servo/body/ENABLE_DOME/1/0
